"","ResponseId","Duration (in seconds)","party","party_4_TEXT","anes_rep","anes_dem","anes_ind","anes_ind_force","SPV_1_meta_out_2","SPV_2_meta_out_2","SPV_3_meta_out_1","SPV_4_meta_out_2","out_corr_time_Page Submit","out_cont_time_Page Submit","manip_ck_1","SPV_1_2","SPV_2_2","SPV_3_1","SPV_4_2","ESPV_1_2","ESPV_2_2","ESPV_3_1","ft_rep_1","ft_dem_1","CSV_1_1","CSV_2_1","CSV_3_1","ancodi_1","ancodi_2","ancodi_3","rep_violence_1","dem_violence_1","sd_marriage_1","sd_friend_1","sd_work_1","sd_carpool_1","YOB","Gender","race","education","polit","religious","region","employed","income","ladder","screen_reason","condition","Inparty","Outparty","IP_dup","MID_dup","gc","SPV_self","SPV_meta_out","ESPV_avg","CSV_avg","ancodi","sd_avg","ft_out","ft_in","ft_diff","out_violence","in_violence","gender","age","stren","Education","Race","SPV_meta_over"
"11","R_3GjJQVkzcFmtVYo",573,1,NA,1,NA,NA,NA,10,10,10,10,NA,19.789,10,0,0,0,0,0,0,0,65,0,50,50,50,0,0,0,40,60,70,0,19,0,1965,2,"white","Some college",7,7,3,5,35000,5,"none","out_control","Republican","Democrat",0,0,1,0,10,0,50,0,22.25,0,65,65,60,40,"Female",55,"Strong","Some college","white",0.699999999999999
"12","R_2QWE6bRtBZxWzmk",335,2,NA,NA,2,NA,NA,70,80,75,80,NA,6.157,51,94,93,76,92,95,94,97,51,82,100,100,100,51,51,51,51,87,51,51,51,51,1979,2,"white","Bachelors",4,7,1,1,75000,4,"none","out_control","Democrat","Republican",0,0,1,88.75,76.25,95.3333333333333,100,51,51,51,82,31,51,87,"Female",41,"Not strong","Bachelors","white",65.95
"13","R_2ONZsF3kLSeA5PC",527,1,NA,1,NA,NA,NA,22,59,50,90,NA,37.802,55,6,6,7,10,8,11,6,98,5,60,60,62,22,93,100,3,67,31,18,25,17,1992,2,"white","HS or less",7,7,2,7,45000,6,"none","out_control","Republican","Democrat",0,0,1,7.25,55.25,8.33333333333333,60.6666666666667,71.6666666666667,22.75,5,98,93,67,3,"Female",28,"Strong","HS or less","white",45.95
"14","R_3r03sZse2gKHSfJ",512,2,NA,NA,1,NA,NA,60,80,70,61,NA,5.093,54,0,0,0,0,50,50,51,56,56,50,51,51,38,36,37,51,0,54,53,40,0,1989,2,"white","Graduate",3,4,3,1,150000,5,"none","out_control","Democrat","Republican",0,0,1,0,67.75,50.3333333333333,50.6666666666667,37,36.75,56,56,0,51,0,"Female",31,"Strong","Graduate","white",57.45
"15","R_2zoOBDG4Qz5Y5fP",340,2,NA,NA,1,NA,NA,67,81,67,65,23.384,NA,66,8,7,51,51,8,13,100,0,59,56,54,62,71,93,60,100,13,100,100,9,12,30,2,"white","Bachelors",1,1,2,7,95000,7,"none","out_correct","Democrat","Republican",0,0,1,29.25,70,40.3333333333333,57.3333333333333,74.6666666666667,55.25,0,59,59,100,13,"Female",30,"Strong","Bachelors","white",59.7
"16","R_2VayWfGcbXp90MZ",349,2,NA,NA,1,NA,NA,0,0,0,0,NA,4.115,0,0,0,0,0,0,0,0,19,62,35,35,29,41,39,42,32,31,67,60,31,24,1988,1,"white","Bachelors",1,1,1,1,95000,5,"none","out_control","Democrat","Republican",0,0,1,0,0,0,33,40.6666666666667,45.5,19,62,43,32,31,"Male",32,"Strong","Bachelors","white",-10.3
"17","R_2qdWThZMaejmJRD",971,1,NA,1,NA,NA,NA,24,24,20,25,59.223,NA,9,0,0,0,0,0,0,0,50,50,50,50,50,50,50,51,50,50,50,50,50,51,1961,2,"white","Some college",7,5,2,7,95000,6,"none","out_correct","Republican","Democrat",0,0,1,0,23.25,0,50,50.3333333333333,50.25,50,50,0,50,50,"Female",59,"Strong","Some college","white",13.95
"18","R_bKEZO4qZlrKNVAt",292,2,NA,NA,1,NA,NA,0,27,18,23,NA,5.266,12,17,11,11,17,8,8,8,8,100,50,50,50,88,29,73,32,5,56,55,56,0,1992,1,"asian","Graduate",4,4,4,1,65000,8,"none","out_control","Democrat","Republican",0,0,1,14,17,8,50,63.3333333333333,41.75,8,100,92,32,5,"Male",28,"Strong","Graduate","asian",6.7
"19","R_1AguANINxvq3T0J",337,1,NA,1,NA,NA,NA,72,84,100,92,NA,6.702,100,0,0,0,0,0,0,0,93,15,0,4,0,0,3,0,28,100,11,16,19,14,1969,2,"white","Some college",4,5,1,1,35000,8,"none","out_control","Republican","Democrat",0,0,1,0,87,0,1.33333333333333,1,15,15,93,78,100,28,"Female",51,"Strong","Some college","white",77.7
"20","R_3iD2V0OzgdACjme",445,1,NA,2,NA,NA,NA,85,85,85,85,20.668,NA,75,10,10,10,10,5,10,5,75,20,60,60,60,90,45,50,4,40,45,20,20,50,1992,1,"white","Bachelors",6,3,3,1,95000,7,"none","out_correct","Republican","Democrat",0,0,1,10,85,6.66666666666667,60,61.6666666666667,33.75,20,75,55,40,4,"Male",28,"Not strong","Bachelors","white",75.7
"21","R_83cEIqILXN8rQMV",395,2,NA,NA,1,NA,NA,0,0,0,0,NA,7.403,0,0,0,9,10,0,0,10,20,61,50,50,50,31,19,71,29,0,70,71,20,30,1985,1,"white","Graduate",1,1,3,2,15000,9,"none","out_control","Democrat","Republican",0,0,1,4.75,0,3.33333333333333,50,40.3333333333333,47.75,20,61,41,29,0,"Male",35,"Strong","Graduate","white",-10.3
"22","R_1BUWkyubrDp7iJ3",323,1,NA,2,NA,NA,NA,55,75,33,81,NA,19.103,61,0,0,0,0,62,36,51,85,30,100,100,100,45,43,46,20,41,1,0,1,0,1984,1,"white","Bachelors",5,5,3,1,187500,3,"none","out_control","Republican","Democrat",0,0,1,0,61,49.6666666666667,100,44.6666666666667,0.5,30,85,55,41,20,"Male",36,"Not strong","Bachelors","white",51.7
"23","R_1F37hRPOVwDlxx4",534,1,NA,1,NA,NA,NA,51,61,0,1,50.68,NA,10,0,0,0,0,0,0,0,80,51,50,50,51,1,0,80,0,50,0,0,0,5,1968,2,"black","Graduate",6,7,3,1,150000,5,"none","out_correct","Republican","Democrat",0,0,1,0,28.25,0,50.3333333333333,27,1.25,51,80,29,50,0,"Female",52,"Strong","Graduate","black",18.95
"24","R_27rIyTRFmlY88mp",515,1,NA,1,NA,NA,NA,63,0,40,0,NA,28.266,61,0,9,0,10,0,1,0,91,9,51,51,52,92,66,79,34,65,81,28,9,65,1996,2,"white","Bachelors",6,6,3,1,75000,4,"none","out_control","Republican","Democrat",0,0,1,4.75,25.75,0.333333333333333,51.3333333333333,79,45.75,9,91,82,65,34,"Female",24,"Strong","Bachelors","white",16.45
"25","R_2xK7px7vjFvvcM9",435,2,NA,NA,1,NA,NA,40,30,10,10,16.434,NA,10,10,0,0,0,10,0,0,10,60,40,40,40,50,40,60,70,50,70,50,50,50,1984,1,"white","Graduate",2,1,4,2,150000,4,"none","out_correct","Democrat","Republican",0,0,1,2.5,22.5,3.33333333333333,40,50,55,10,60,50,70,50,"Male",36,"Strong","Graduate","white",12.2
"26","R_3PtaqMY1Xc3R6Ci",611,1,NA,1,NA,NA,NA,75,60,60,60,NA,7.381,15,0,0,0,0,0,0,0,100,0,60,60,50,40,40,40,5,10,100,50,5,5,1984,2,"white","Graduate",6,6,3,1,150000,6,"none","out_control","Republican","Democrat",0,0,1,0,63.75,0,56.6666666666667,40,40,0,100,100,10,5,"Female",36,"Strong","Graduate","white",54.45
"27","R_31sz8N9MaQXvN0P",392,2,NA,NA,1,NA,NA,30,35,35,30,23.028,NA,11,5,0,0,0,15,0,10,15,80,51,51,55,70,55,75,40,5,40,20,25,55,1986,1,"white","Bachelors",1,1,2,1,95000,4,"none","out_correct","Democrat","Republican",0,0,1,1.25,32.5,8.33333333333333,52.3333333333333,66.6666666666667,35,15,80,65,40,5,"Male",34,"Strong","Bachelors","white",22.2
"28","R_1hze7H1Gi7hu5kb",566,1,NA,1,NA,NA,NA,10,0,0,15,46.608,NA,15,0,0,0,0,80,80,70,100,0,50,55,50,100,100,100,10,70,80,70,50,70,1989,2,"white","Bachelors",7,7,3,2,45000,5,"none","out_correct","Republican","Democrat",0,0,1,0,6.25,76.6666666666667,51.6666666666667,100,67.5,0,100,100,70,10,"Female",31,"Strong","Bachelors","white",-3.05
"29","R_3nOinyZQWHfVVO4",241,2,NA,NA,1,NA,NA,79,39,68,57,8.992,NA,10,1,1,6,5,3,2,10,28,82,53,53,52,61,61,60,86,5,64,28,0,0,1985,2,"white","Bachelors",2,5,2,1,45000,6,"none","out_correct","Democrat","Republican",0,0,1,3.25,60.75,5,52.6666666666667,60.6666666666667,23,28,82,54,86,5,"Female",35,"Strong","Bachelors","white",50.45
"30","R_2TzPOgbLuQcqflu",1064,1,NA,1,NA,NA,NA,75,68,76,67,46.934,NA,13,0,0,0,0,0,0,0,100,100,74,70,69,0,8,0,24,8,12,8,2,0,1992,2,"white","Some college",7,7,4,7,85000,5,"none","out_correct","Republican","Democrat",0,0,1,0,71.5,0,71,2.66666666666667,5.5,100,100,0,8,24,"Female",28,"Strong","Some college","white",62.2
"31","R_1NqbUBBP8vuKBPc",703,1,NA,1,NA,NA,NA,30,10,30,35,23.528,NA,25,5,0,0,0,0,5,0,75,20,60,60,50,20,10,20,0,5,25,5,0,0,1982,2,"white","Graduate",7,6,3,1,112500,5,"none","out_correct","Republican","Democrat",0,0,1,1.25,26.25,1.66666666666667,56.6666666666667,16.6666666666667,7.5,20,75,55,5,0,"Female",38,"Strong","Graduate","white",16.95
"32","R_2b2buyHQ0iPOU6b",954,1,NA,1,NA,NA,NA,65,40,35,60,65.193,NA,10,0,0,0,0,0,0,0,81,61,80,80,77,6,0,0,8,8,0,9,8,10,1953,1,"white","Bachelors",5,5,2,2,15000,7,"none","out_correct","Republican","Democrat",0,0,1,0,50,0,79,2,6.75,61,81,20,8,8,"Male",67,"Strong","Bachelors","white",40.7
"33","R_3qCqI78xG5VeD7a",816,2,NA,NA,1,NA,NA,80,67,68,34,NA,10.614,32,2,2,0,1,60,3,2,18,95,53,66,51,75,32,2,35,10,30,15,10,20,1965,2,"white","Bachelors",2,1,3,7,85000,5,"none","out_control","Democrat","Republican",0,0,1,1.25,62.25,21.6666666666667,56.6666666666667,36.3333333333333,18.75,18,95,77,35,10,"Female",55,"Strong","Bachelors","white",51.95
"34","R_Tt7Xw1SfB6wyfCh",429,2,NA,NA,1,NA,NA,94,74,71,83,35.459,NA,20,20,20,7,20,90,13,81,9,75,61,56,54,76,100,100,67,11,85,20,23,13,1980,2,"white","Bachelors",1,6,3,2,112500,4,"none","out_correct","Democrat","Republican",0,0,1,16.75,80.5,61.3333333333333,57,92,35.25,9,75,66,67,11,"Female",40,"Strong","Bachelors","white",70.2
"35","R_AAweCGNb0St7DTH",1013,1,NA,1,NA,NA,NA,60,75,80,70,NA,21.662,75,20,0,10,10,0,0,0,80,0,80,85,70,65,75,75,80,40,10,0,10,10,1947,2,"white","Some college",6,4,4,5,65000,6,"none","out_control","Republican","Democrat",0,0,1,10,71.25,0,78.3333333333333,71.6666666666667,7.5,0,80,80,40,80,"Female",73,"Strong","Some college","white",61.95
"36","R_277iBehXdADfxxC",399,1,NA,1,NA,NA,NA,26,50,16,21,42.646,NA,13,0,0,3,0,3,0,1,80,42,50,52,50,10,3,3,0,3,6,0,0,0,1962,2,"white","Bachelors",7,5,2,1,65000,7,"none","out_correct","Republican","Democrat",0,0,1,0.75,28.25,1.33333333333333,50.6666666666667,5.33333333333333,1.5,42,80,38,3,0,"Female",58,"Strong","Bachelors","white",18.95
"37","R_qO5w2jYi9zwcmvn",381,2,NA,NA,1,NA,NA,14,20,4,13,17.084,NA,8,8,8,9,10,7,6,8,7,33,5,0,2,20,19,20,90,4,50,49,63,63,1992,2,"white","Graduate",2,1,4,1,65000,5,"none","out_correct","Democrat","Republican",0,0,1,8.75,12.75,7,2.33333333333333,19.6666666666667,56.25,7,33,26,90,4,"Female",28,"Strong","Graduate","white",2.45
"38","R_2TU9JXfLSOoEUjR",396,1,NA,1,NA,NA,NA,61,67,62,67,NA,17.695,69,0,0,0,0,0,0,0,90,2,50,50,50,60,61,65,0,81,87,81,70,71,1976,2,"white","Some college",6,6,3,7,95000,6,"none","out_control","Republican","Democrat",0,0,1,0,64.25,0,50,62,77.25,2,90,88,81,0,"Female",44,"Strong","Some college","white",54.95
"39","R_3GDJ6vj4Wk0ZApq",663,1,NA,1,NA,NA,NA,35,20,20,20,NA,29.498,20,0,0,0,0,0,0,0,89,17,50,60,50,69,20,27,0,65,71,71,71,70,1966,2,"white","Graduate",6,6,3,1,150000,4,"none","out_control","Republican","Democrat",0,0,1,0,23.75,0,53.3333333333333,38.6666666666667,70.75,17,89,72,65,0,"Female",54,"Strong","Graduate","white",14.45
"40","R_3Ej6Za0sTaZceS7",1391,1,NA,1,NA,NA,NA,63,58,3,8,55.854,NA,84,6,5,38,31,13,11,93,79,3,78,76,76,12,16,11,41,40,98,98,63,10,1968,2,"white","Bachelors",6,5,3,2,25000,7,"none","out_correct","Republican","Democrat",0,0,1,20,33,39,76.6666666666667,13,67.25,3,79,76,40,41,"Female",52,"Strong","Bachelors","white",23.7
"41","R_3nlx6IGmxuRIRqD",431,1,NA,2,NA,NA,NA,0,5,3,20,NA,20.765,69,0,0,10,1,0,0,0,76,32,44,42,42,0,56,54,0,11,68,54,4,1,1969,2,"white","Some college",6,2,4,2,55000,7,"none","out_control","Republican","Democrat",0,0,1,2.75,7,0,42.6666666666667,36.6666666666667,31.75,32,76,44,11,0,"Female",51,"Not strong","Some college","white",-2.3
"42","R_3iPyG7FpDni0lmb",221,2,NA,NA,1,NA,NA,100,100,100,100,20.356,NA,100,0,0,0,0,0,100,50,0,100,86,66,78,0,0,0,100,0,100,50,88,97,1985,2,"white","Bachelors",2,1,2,1,55000,6,"none","out_correct","Democrat","Republican",0,0,1,0,100,50,76.6666666666667,0,83.75,0,100,100,100,0,"Female",35,"Strong","Bachelors","white",89.7
"43","R_1d0L7z3FRp4yubf",401,2,NA,NA,1,NA,NA,53,55,50,31,NA,26.4,42,0,0,0,0,0,0,0,0,84,50,50,50,1,2,2,20,0,66,59,57,60,1990,2,"white","Bachelors",2,2,3,1,75000,6,"none","out_control","Democrat","Republican",0,0,1,0,47.25,0,50,1.66666666666667,60.5,0,84,84,20,0,"Female",30,"Strong","Bachelors","white",36.95
"44","R_2QKWobe1tY8TqTe",456,1,NA,1,NA,NA,NA,60,65,60,50,NA,10.127,56,25,30,38,20,40,58,50,84,20,51,59,50,70,30,40,9,81,5,3,10,1,1975,2,"white","HS or less",5,2,2,1,55000,7,"none","out_control","Republican","Democrat",0,0,1,28.25,58.75,49.3333333333333,53.3333333333333,46.6666666666667,4.75,20,84,64,81,9,"Female",45,"Strong","HS or less","white",49.45
"45","R_eEdAhQ6yeKyFFOp",439,1,NA,1,NA,NA,NA,59,55,32,30,NA,14.103,44,20,0,0,9,9,0,9,81,0,71,71,71,20,80,66,9,80,19,25,25,29,1952,1,"white","Graduate",5,6,4,5,150000,3,"none","out_control","Republican","Democrat",0,0,1,7.25,44,6,71,55.3333333333333,24.5,0,81,81,80,9,"Male",68,"Strong","Graduate","white",34.7
"46","R_2EAzm7f6oTIi1f3",504,1,NA,1,NA,NA,NA,95,76,85,95,NA,8.302,85,80,30,20,6,70,40,5,70,4,61,60,70,85,85,92,2,30,100,70,30,25,1984,1,"white","Graduate",7,5,1,1,85000,4,"none","out_control","Republican","Democrat",0,0,1,34,87.75,38.3333333333333,63.6666666666667,87.3333333333333,56.25,4,70,66,30,2,"Male",36,"Strong","Graduate","white",78.45
"47","R_1g6FOQGXigZYYXO",517,1,NA,1,NA,NA,NA,5,4,0,8,33.011,NA,9,0,0,1,1,0,0,0,84,36,60,52,52,0,0,3,5,18,0,0,0,0,1985,1,"white","Graduate",7,6,4,1,55000,4,"none","out_correct","Republican","Democrat",0,0,1,0.5,4.25,0,54.6666666666667,1,0,36,84,48,18,5,"Male",35,"Strong","Graduate","white",-5.05
"48","R_3LjrVJlGJdCqvHt",231,1,NA,1,NA,NA,NA,100,100,100,100,NA,3.967,100,88,84,100,90,100,100,100,100,0,12,2,0,100,0,100,13,100,0,0,0,0,1985,1,"white","Some college",7,7,2,1,112500,5,"none","out_control","Republican","Democrat",0,0,1,90.5,100,100,4.66666666666667,66.6666666666667,0,0,100,100,100,13,"Male",35,"Strong","Some college","white",90.7
"49","R_1f8iqi7BjN7qOxg",879,1,NA,1,NA,NA,NA,35,20,14,30,NA,16.684,24,0,0,0,0,0,0,0,71,9,50,50,40,9,19,12,10,5,0,0,0,5,1970,1,"white","HS or less",6,1,2,1,45000,7,"none","out_control","Republican","Democrat",0,0,1,0,24.75,0,46.6666666666667,13.3333333333333,1.25,9,71,62,5,10,"Male",50,"Strong","HS or less","white",15.45
"50","R_3M4dJFNXV9I94NR",425,2,NA,NA,1,NA,NA,65,20,15,15,38.285,NA,10,10,16,10,13,0,0,0,85,85,0,5,0,0,0,0,14,5,5,5,0,0,1966,2,"white","Graduate",3,2,1,1,112500,5,"none","out_correct","Democrat","Republican",0,0,1,12.25,28.75,0,1.66666666666667,0,2.5,85,85,0,14,5,"Female",54,"Strong","Graduate","white",18.45
"51","R_R3P92J5ow2uyDu1",870,1,NA,1,NA,NA,NA,60,83,100,90,NA,23.501,74,0,0,0,0,0,0,0,90,20,34,38,40,77,86,88,30,100,14,16,17,12,1983,2,"white","Bachelors",6,5,3,4,35000,7,"none","out_control","Republican","Democrat",0,0,1,0,83.25,0,37.3333333333333,83.6666666666667,14.75,20,90,70,100,30,"Female",37,"Strong","Bachelors","white",73.95
"52","R_3qKZQ4aW3QmrYin",547,1,NA,1,NA,NA,NA,70,90,40,40,42.398,NA,10,10,0,0,0,0,0,0,85,25,61,80,60,0,0,10,0,45,0,0,0,0,1977,2,"white","Some college",6,6,1,2,45000,6,"none","out_correct","Republican","Democrat",0,0,1,2.5,60,0,67,3.33333333333333,0,25,85,60,45,0,"Female",43,"Strong","Some college","white",50.7
"53","R_3s5fPzwmWqlQD89",1060,2,NA,NA,1,NA,NA,58,59,40,39,71.02,NA,10,0,0,0,0,0,0,0,40,100,0,0,0,11,0,14,30,0,2,0,0,7,1950,2,"white","HS or less",1,4,2,5,15000,9,"none","out_correct","Democrat","Republican",0,0,1,0,49,0,0,8.33333333333333,2.25,40,100,60,30,0,"Female",70,"Strong","HS or less","white",38.7
"54","R_3MoOuYrgSc18sC9",463,1,NA,2,NA,NA,NA,90,100,80,90,NA,14.57,100,0,0,0,0,0,0,0,30,10,0,0,0,0,75,100,0,30,50,0,20,30,1969,1,"white","Some college",5,4,4,4,15000,9,"none","out_control","Republican","Democrat",0,0,1,0,90,0,0,58.3333333333333,25,10,30,20,30,0,"Male",51,"Not strong","Some college","white",80.7
"55","R_2VJifzAMayiRQUa",648,1,NA,1,NA,NA,NA,75,75,90,70,50.157,NA,25,5,0,2,81,10,0,85,80,20,80,50,95,15,15,75,0,100,0,0,0,0,1965,2,"white","Some college",7,6,3,1,45000,7,"none","out_correct","Republican","Democrat",0,0,1,22,77.5,31.6666666666667,75,35,0,20,80,60,100,0,"Female",55,"Strong","Some college","white",68.2
"56","R_1jNcAVh3mdUUkQi",766,1,NA,1,NA,NA,NA,81,89,78,81,42.833,NA,60,91,9,19,51,20,20,92,92,0,83,60,78,100,100,100,19,81,100,10,51,79,1947,2,"white","Bachelors",1,5,3,4,112500,4,"none","out_correct","Republican","Democrat",0,0,1,42.5,82.25,44,73.6666666666667,100,60,0,92,92,81,19,"Female",73,"Strong","Bachelors","white",72.95
"57","R_1dy6J6NOABhCkP7",539,1,NA,2,NA,NA,NA,92,99,87,94,NA,19.329,86,36,10,15,18,51,59,36,77,0,70,78,50,33,64,88,2,75,28,21,33,28,1989,1,"white","Graduate",6,4,3,1,55000,6,"none","out_control","Republican","Democrat",0,0,1,19.75,93,48.6666666666667,66,61.6666666666667,27.5,0,77,77,75,2,"Male",31,"Not strong","Graduate","white",83.7
"58","R_3FUs8KG4cdM4KXy",542,1,NA,2,NA,NA,NA,34,37,20,19,34.517,NA,10,4,9,5,5,3,2,0,40,29,7,30,10,58,52,56,8,9,25,9,6,9,1990,1,"white","Bachelors",5,5,4,1,112500,5,"none","out_correct","Republican","Democrat",0,0,1,5.75,27.5,1.66666666666667,15.6666666666667,55.3333333333333,12.25,29,40,11,9,8,"Male",30,"Not strong","Bachelors","white",18.2
"59","R_2EGK6KtphbXLltf",980,1,NA,1,NA,NA,NA,81,81,60,65,71.672,NA,61,0,0,0,0,0,0,0,71,0,92,90,90,92,92,100,5,76,5,0,5,0,1956,1,"white","Graduate",5,3,2,5,5000,4,"none","out_correct","Republican","Democrat",0,0,1,0,71.75,0,90.6666666666667,94.6666666666667,2.5,0,71,71,76,5,"Male",64,"Strong","Graduate","white",62.45
"60","R_1qgHGcj0nW1sVo9",356,1,NA,1,NA,NA,NA,92,90,91,82,NA,8.046,91,0,0,0,0,0,0,0,100,0,40,42,30,70,81,93,0,100,30,40,62,40,1968,2,"white","Bachelors",6,6,3,1,55000,4,"none","out_control","Republican","Democrat",0,0,1,0,88.75,0,37.3333333333333,81.3333333333333,43,0,100,100,100,0,"Female",52,"Strong","Bachelors","white",79.45
"61","R_50y1BtFz4MNjMUF",375,2,NA,NA,1,NA,NA,30,12,15,40,36.31,NA,9,0,0,0,0,4,0,13,30,72,60,50,50,39,35,35,15,0,30,50,50,50,1995,2,"white","Bachelors",2,1,2,6,5000,7,"none","out_correct","Democrat","Republican",0,0,1,0,24.25,5.66666666666667,53.3333333333333,36.3333333333333,45,30,72,42,15,0,"Female",25,"Strong","Bachelors","white",13.95
"62","R_2q96gUH85SFVhNQ",666,1,NA,1,NA,NA,NA,0,8,7,5,56.828,NA,8,0,0,0,0,0,1,0,80,80,0,0,0,0,0,0,0,19,3,3,3,1,1949,2,"white","Graduate",7,7,3,2,95000,6,"none","out_correct","Republican","Democrat",0,0,1,0,5,0.333333333333333,0,0,2.5,80,80,0,19,0,"Female",71,"Strong","Graduate","white",-4.3
"63","R_3kh0VRjVjpGHHLM",245,2,NA,NA,1,NA,NA,86,96,88,72,NA,10.601,93,8,3,5,4,17,28,7,0,96,58,60,50,100,95,98,94,6,85,81,79,78,1996,2,"white","Bachelors",1,1,1,1,55000,4,"none","out_control","Democrat","Republican",0,0,1,5,85.5,17.3333333333333,56,97.6666666666667,80.75,0,96,96,94,6,"Female",24,"Strong","Bachelors","white",75.2
"64","R_2q4WPWnF0PNV5FY",401,2,NA,NA,1,NA,NA,71,65,75,40,18.436,NA,60,10,20,0,0,65,25,65,0,80,55,62,59,100,89,100,81,10,72,66,65,54,22,1,"white","Bachelors",1,1,3,6,112500,4,"none","out_correct","Democrat","Republican",0,0,1,7.5,62.75,51.6666666666667,58.6666666666667,96.3333333333333,64.25,0,80,80,81,10,"Male",22,"Strong","Bachelors","white",52.45
